@W: CD274 :"C:\Firmware\P3051\P3051\Main.vhd":325:4:325:7|Incomplete case statement - add more cases or a when others
@W: CD274 :"C:\Firmware\P3051\P3051\Main.vhd":316:2:316:5|Incomplete case statement - add more cases or a when others
@W: CD274 :"C:\Firmware\P3051\P3051\Main.vhd":370:5:370:8|Incomplete case statement - add more cases or a when others
@W: CG296 :"C:\Firmware\P3051\P3051\Main.vhd":297:7:297:13|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":319:19:319:25|Referenced variable ram_out is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":332:49:332:61|Referenced variable tck_frequency is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":326:35:326:48|Referenced variable sensor_data_in is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":328:36:328:43|Referenced variable int_bits is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":330:35:330:44|Referenced variable int_period is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":329:36:329:43|Referenced variable int_mask is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":321:26:321:30|Referenced variable cpuds is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":318:10:318:14|Referenced variable cpuwr is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":303:34:303:41|Referenced variable cpu_addr is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":309:12:309:23|Referenced variable cpu_data_out is not in sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":335:21:335:38|Referenced variable cpu_multiplier_out is not in sensitivity list.
@W: CG296 :"C:\Firmware\P3051\P3051\Main.vhd":477:24:477:30|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":545:26:545:33|Referenced variable int_mask is not in sensitivity list.
@W: CG296 :"C:\Firmware\P3051\P3051\Main.vhd":721:20:721:26|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":732:10:732:13|Referenced variable sbyi is not in sensitivity list.
@W: CG296 :"C:\Firmware\P3051\P3051\Main.vhd":829:22:829:28|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Firmware\P3051\P3051\Main.vhd":853:17:853:26|Referenced variable tx_channel is not in sensitivity list.
@W: CD274 :"C:\Firmware\P3051\P3051\OSR8V3.vhd":284:2:284:5|Incomplete case statement - add more cases or a when others
@W: CD274 :"C:\Firmware\P3051\P3051\OSR8V3.vhd":583:5:583:8|Incomplete case statement - add more cases or a when others
@W: CD274 :"C:\Firmware\P3051\P3051\OSR8V3.vhd":609:5:609:8|Incomplete case statement - add more cases or a when others
@W: CD274 :"C:\Firmware\P3051\P3051\OSR8V3.vhd":934:5:934:8|Incomplete case statement - add more cases or a when others
@W: CD274 :"C:\Firmware\P3051\P3051\OSR8V3.vhd":864:4:864:7|Incomplete case statement - add more cases or a when others
@W: CD274 :"C:\Firmware\P3051\P3051\OSR8V3.vhd":975:5:975:8|Incomplete case statement - add more cases or a when others
